Subclass,Price,Division_x,Weight_x,Weight_Price_Subclass,Division_y,Weight_y
Accessories for information processing equipment,21.45,RECREATION AND CULTURE,0.0003,0.006434999999999999,RECREATION AND CULTURE,0.0003
"Articles for personal hygiene and wellness, esoteric products and beauty products",4.0445,MISCELLANEOUS GOODS AND SERVICES,0.024399999999999998,0.0986858,MISCELLANEOUS GOODS AND SERVICES,0.024399999999999998
Artificial sugar substitutes,5.183333333333334,FOOD AND NON-ALCOHOLIC BEVERAGES,0.0,0.0,FOOD AND NON-ALCOHOLIC BEVERAGES,0.0
Baby food,7.452727272727273,FOOD AND NON-ALCOHOLIC BEVERAGES,0.0026,0.01937709090909091,FOOD AND NON-ALCOHOLIC BEVERAGES,0.0026
Bed linen,12.0,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",0.0008,0.009600000000000001,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",0.0008
Beef and veal,5.33,FOOD AND NON-ALCOHOLIC BEVERAGES,0.0013,0.006928999999999999,FOOD AND NON-ALCOHOLIC BEVERAGES,0.0013
Bicycles,490.0,TRANSPORT,0.0003,0.147,TRANSPORT,0.0003
Bread,1.8816666666666666,FOOD AND NON-ALCOHOLIC BEVERAGES,0.0098,0.018440333333333333,FOOD AND NON-ALCOHOLIC BEVERAGES,0.0098
Breakfast cereals,4.0625,FOOD AND NON-ALCOHOLIC BEVERAGES,0.0031,0.012593749999999999,FOOD AND NON-ALCOHOLIC BEVERAGES,0.0031
Bundled telecommunication services,19.394,COMMUNICATION,0.006500000000000001,0.126061,COMMUNICATION,0.006500000000000001
Butter,4.47,FOOD AND NON-ALCOHOLIC BEVERAGES,0.001,0.00447,FOOD AND NON-ALCOHOLIC BEVERAGES,0.001
Cameras,89.0,RECREATION AND CULTURE,0.0002,0.0178,RECREATION AND CULTURE,0.0002
Carpets and rugs,6.24,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",0.0004,0.0024960000000000004,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",0.0004
Cheese and curd,4.456666666666667,FOOD AND NON-ALCOHOLIC BEVERAGES,0.0123,0.054817000000000005,FOOD AND NON-ALCOHOLIC BEVERAGES,0.0123
Chocolate,1.7400000000000002,FOOD AND NON-ALCOHOLIC BEVERAGES,0.0036,0.0062640000000000005,FOOD AND NON-ALCOHOLIC BEVERAGES,0.0036
Cigarettes,4.94,ALCOHOLIC BEVERAGES AND TOBACCO,0.0171,0.08447400000000001,ALCOHOLIC BEVERAGES AND TOBACCO,0.0171
Cigars,28.639999999999997,ALCOHOLIC BEVERAGES AND TOBACCO,0.0033,0.09451199999999998,ALCOHOLIC BEVERAGES AND TOBACCO,0.0033
"Cinemas, theatres, concerts",8.0,RECREATION AND CULTURE,0.0029,0.0232,RECREATION AND CULTURE,0.0029
Cleaning and maintenance products,5.748260869565217,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",0.0127,0.07300291304347825,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",0.0127
Cleaning equipment,59.95,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",0.0002,0.01199,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",0.0002
Cleaning of clothing,17.666666666666668,CLOTHING AND FOOTWEAR,0.0008,0.014133333333333335,CLOTHING AND FOOTWEAR,0.0008
Clocks and watches,28.95,MISCELLANEOUS GOODS AND SERVICES,0.0005,0.014475,MISCELLANEOUS GOODS AND SERVICES,0.0005
"Clothes washing machines, clothes drying machines and dish washing machines",325.0,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",0.002,0.65,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",0.002
Clothing accessories,17.666666666666668,CLOTHING AND FOOTWEAR,0.0004,0.007066666666666667,CLOTHING AND FOOTWEAR,0.0004
Coal,6.470000000000001,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",0.0015,0.009705000000000002,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",0.0015
Cocoa and powdered chocolate,2.5,FOOD AND NON-ALCOHOLIC BEVERAGES,0.0003,0.0007499999999999999,FOOD AND NON-ALCOHOLIC BEVERAGES,0.0003
Coffee,5.3675,FOOD AND NON-ALCOHOLIC BEVERAGES,0.0044,0.023617,FOOD AND NON-ALCOHOLIC BEVERAGES,0.0044
"Coffee machines, tea makers and similar appliances",22.4625,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",0.0002,0.0044925,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",0.0002
Confectionery products,2.007,FOOD AND NON-ALCOHOLIC BEVERAGES,0.0025,0.0050175,FOOD AND NON-ALCOHOLIC BEVERAGES,0.0025
Cookers,74.95,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",0.0012,0.08993999999999999,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",0.0012
Corrective eye-glasses and contact lenses,88.03999999999999,HEALTH,0.001,0.08804,HEALTH,0.001
Crisps,2.25,FOOD AND NON-ALCOHOLIC BEVERAGES,0.0018,0.00405,FOOD AND NON-ALCOHOLIC BEVERAGES,0.0018
"Cutlery, flatware and silverware",11.99,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",0.0004,0.004796,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",0.0004
