Date,Division,CPI Division,Monthly Change (%)
2024-06,FOOD AND NON-ALCOHOLIC BEVERAGES,122.16,
2024-06,ALCOHOLIC BEVERAGES AND TOBACCO,102.66,
2024-06,CLOTHING AND FOOTWEAR,108.77,
2024-06,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",145.89,
2024-06,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES",105.71,
2024-06,HEALTH,106.26,
2024-06,TRANSPORT,117.88,
2024-06,COMMUNICATION,91.76,
2024-06,RECREATION AND CULTURE,112.6,
2024-06,EDUCATION,111.91,
2024-06,RESTAURANTS AND HOTELS,127.94,
2024-06,MISCELLANEOUS GOODS AND SERVICES,111.45,
2024-06,FOOD AND NON-ALCOHOLIC BEVERAGES,122.16,0.0
2024-06,ALCOHOLIC BEVERAGES AND TOBACCO,102.66,0.0
2024-06,CLOTHING AND FOOTWEAR,108.77,0.0
2024-06,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",145.89,0.0
2024-06,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES",105.71,0.0
2024-06,HEALTH,106.26,0.0
2024-06,TRANSPORT,117.88,0.0
2024-06,COMMUNICATION,91.76,0.0
2024-06,RECREATION AND CULTURE,112.6,0.0
2024-06,EDUCATION,111.91,0.0
2024-06,RESTAURANTS AND HOTELS,127.94,0.0
2024-06,MISCELLANEOUS GOODS AND SERVICES,111.45,0.0
2024-06,FOOD AND NON-ALCOHOLIC BEVERAGES,122.16,0.0
2024-06,ALCOHOLIC BEVERAGES AND TOBACCO,102.66,0.0
2024-06,CLOTHING AND FOOTWEAR,108.77,0.0
2024-06,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",145.89,0.0
2024-06,"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES",105.71,0.0
2024-06,HEALTH,106.26,0.0
2024-06,TRANSPORT,117.88,0.0
2024-06,COMMUNICATION,91.76,0.0
2024-06,RECREATION AND CULTURE,112.6,0.0
2024-06,EDUCATION,111.91,0.0
2024-06,RESTAURANTS AND HOTELS,127.94,0.0
2024-06,MISCELLANEOUS GOODS AND SERVICES,111.45,0.0
