Period,Official (2015=100),Online (27/06/2024=77.89),Official (27/06/2024=100),Online (27/06/2024=100),Official Inflation (%),Online Inflation (%)
2024-06,117.72,77.89,100.0,100.0,,
2024-07,117.73,78.0,100.01,100.14,0.01,0.14
2024-08,118.1,77.85,100.32,99.94,0.31,-0.19
2024-09,118.48,78.1,100.65,100.27,0.32,0.33
2024-10,118.64,78.99,100.78,101.41,0.14,1.13
2024-11,118.21,78.37,100.42,100.62,-0.36,-0.78
2024-12,118.31,78.44,100.5,100.71,0.08,0.09
2025-01,116.73,78.07,99.16,100.23,-1.34,-0.47
2025-02,117.11,78.53,99.48,100.83,0.33,0.59
2025-03,117.25,78.72,99.6,101.06,0.12,0.24
2025-04,117.31,78.75,99.65,101.1,0.05,0.04
2025-05,117.57,78.81,99.87,101.18,0.22,0.08
2025-06,117.28,78.53,99.63,100.82,-0.25,-0.35
2025-07,116.65,78.2,99.09,100.4,-0.54,-0.42
2025-08,117.04,78.95,99.42,101.35,0.33,0.95
2025-09,117.71,79.11,99.99,101.57,0.57,0.21
2025-10,118.25,78.76,100.45,101.12,0.46,-0.44
2025-11,117.57,78.32,99.87,100.56,-0.58,-0.56
2025-12,117.67,78.57,99.96,100.87,0.09,0.32
