Name,Subclass,Url,Division,Retailer
ΑλφαμέγαΨωµίΟλικήςΑλέσεωςσεΦέτες900g,Bread,/groceries/fresh-food/bakery/bread/alphamega-wholemeal-sliced-bread-900-g,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
ΑλφαμέγαΨωµίΟλικήςΑλέσεωςσεΦέτες500g,Bread,/groceries/fresh-food/bakery/bread/alphamega-wholemeal-sliced-bread-500-g,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
ΑλφαμέγαΛευκόΨωμί500g,Bread,/groceries/fresh-food/bakery/bread/alphamega-white-bread-500-g,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
ΑλφαμέγαΧωριάτικοψωμί850g,Bread,/groceries/fresh-food/bakery/bread/alphamega-white-village-bread-850-g,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
ΑλφαμέγαΆσπροΨωµίσεΦέτες900g,Bread,/groceries/fresh-food/bakery/bread/alphamega-white-sliced-bread-900-g,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
ΑλφαμέγαΆσπροΨωµίσεΦέτες500g,Bread,/groceries/fresh-food/bakery/bread/alphamega-white-sliced-bread-500-g,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
Άρτοζυμ5ΠαφίτικεςΠίττεςγιαΣουβλάκια750g,Other bakery products,/groceries/fresh-food/bakery/pitta-wraps/artozym-5-pitta-bread-for-kebab-750-g,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
NutriFreeψωμάκιαγιαΜπέργκερx3110g,Other bakery products,/groceries/fresh-food/bakery/breadroll/nutri-free-panino-hamburger-buns-x3-110-g,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
ΚρουασάνΒουτύρου80g,Other bakery products,/groceries/fresh-food/bakery/bakery-snacks/butter-croissant-80-g,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
ΧαλλουμωτήΤυλιχτή165g,Other bakery products,/groceries/fresh-food/bakery/bakery-snacks/olive-pie-165-g,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
ΕλιωτήΤυλιχτή165g,Other bakery products,/groceries/fresh-food/bakery/bakery-snacks/halloumi-pie-165-g,FOOD AND NON-ALCOHOLIC BEVERAGES,Alphamega
