,ECOICOP CODE,SUBCLASS,DIVISION,2022 WEIGHT(%),MATCHING (1 = YES),MATCHED WEIGHT (%),TOTAL MATCHED WEIGHT (%)
0,01.1.1.1,Rice,FOOD AND NON-ALCOHOLIC BEVERAGES,0.13,1,0.13,77.88999999999999
1,01.1.1.2,Flours and other cereals,FOOD AND NON-ALCOHOLIC BEVERAGES,0.2,1,0.2,
2,01.1.1.3,Bread,FOOD AND NON-ALCOHOLIC BEVERAGES,0.98,1,0.98,
3,01.1.1.4,Other bakery products,FOOD AND NON-ALCOHOLIC BEVERAGES,1.46,1,1.46,
4,01.1.1.5,Pizza and quiche,FOOD AND NON-ALCOHOLIC BEVERAGES,0.11,1,0.11,
5,01.1.1.6,Pasta products and couscous,FOOD AND NON-ALCOHOLIC BEVERAGES,0.24,1,0.24,
6,01.1.1.7,Breakfast cereals,FOOD AND NON-ALCOHOLIC BEVERAGES,0.31,1,0.31,
7,01.1.1.8,Other cereal products,FOOD AND NON-ALCOHOLIC BEVERAGES,0.0,1,0.0,
8,01.1.2.1,Beef and veal,FOOD AND NON-ALCOHOLIC BEVERAGES,0.13,1,0.13,
9,01.1.2.2,Pork,FOOD AND NON-ALCOHOLIC BEVERAGES,1.12,1,1.12,
10,01.1.2.3,Lamb and goat,FOOD AND NON-ALCOHOLIC BEVERAGES,0.39,1,0.39,
11,01.1.2.4,Poultry,FOOD AND NON-ALCOHOLIC BEVERAGES,0.98,1,0.98,
12,01.1.2.5,Other meats,FOOD AND NON-ALCOHOLIC BEVERAGES,0.11,1,0.11,
13,01.1.2.7,"Dried, salted or smoked meat",FOOD AND NON-ALCOHOLIC BEVERAGES,0.6,1,0.6,
14,01.1.2.8,Other meat preparations,FOOD AND NON-ALCOHOLIC BEVERAGES,0.19,1,0.19,
15,01.1.3.1,Fresh or chilled fish,FOOD AND NON-ALCOHOLIC BEVERAGES,0.28,1,0.28,
16,01.1.3.2,Frozen fish,FOOD AND NON-ALCOHOLIC BEVERAGES,0.15,1,0.15,
17,01.1.3.3,Fresh or chilled seafood,FOOD AND NON-ALCOHOLIC BEVERAGES,0.03,0,0.0,
18,01.1.3.4,Frozen seafood,FOOD AND NON-ALCOHOLIC BEVERAGES,0.11,1,0.11,
19,01.1.3.5,"Dried, smoked or salted fish and seafood",FOOD AND NON-ALCOHOLIC BEVERAGES,0.06,1,0.06,
20,01.1.3.6,Other preserved or processed fish and seafood-based preparations,FOOD AND NON-ALCOHOLIC BEVERAGES,0.23,1,0.23,
21,01.1.4.1,Whole milk,FOOD AND NON-ALCOHOLIC BEVERAGES,0.15,1,0.15,
22,01.1.4.2,Low fat milk,FOOD AND NON-ALCOHOLIC BEVERAGES,0.86,1,0.86,
23,01.1.4.3,Preserved milk,FOOD AND NON-ALCOHOLIC BEVERAGES,0.07,1,0.07,
