Date,Name,Subclass,Url,Division,Retailer
2024-06-28,ColgateMaxFreshCrystalMint75ml,"Articles for personal hygiene and wellness, esoteric products and beauty products",colgate-max-fresh-crystal-mint-75ml,MISCELLANEOUS GOODS AND SERVICES,SupermarketCy
2024-06-28,SchweppesLemonade6X330ml,Soft drinks,schweppes-lemonade-6x330ml-1,FOOD AND NON-ALCOHOLIC BEVERAGES,SupermarketCy
2024-06-29,ColgateMaxFreshCrystalMint75ml,"Articles for personal hygiene and wellness, esoteric products and beauty products",colgate-max-fresh-crystal-mint-75ml,MISCELLANEOUS GOODS AND SERVICES,SupermarketCy
2024-06-29,SchweppesLemonade6X330ml,Soft drinks,schweppes-lemonade-6x330ml-1,FOOD AND NON-ALCOHOLIC BEVERAGES,SupermarketCy
2024-06-30,ColgateMaxFreshCrystalMint75ml,"Articles for personal hygiene and wellness, esoteric products and beauty products",colgate-max-fresh-crystal-mint-75ml,MISCELLANEOUS GOODS AND SERVICES,SupermarketCy
2024-06-30,SchweppesLemonade6X330ml,Soft drinks,schweppes-lemonade-6x330ml-1,FOOD AND NON-ALCOHOLIC BEVERAGES,SupermarketCy
2024-07-01,ColgateMaxFreshCrystalMint75ml,"Articles for personal hygiene and wellness, esoteric products and beauty products",colgate-max-fresh-crystal-mint-75ml,MISCELLANEOUS GOODS AND SERVICES,SupermarketCy
2024-07-01,SchweppesLemonade6X330ml,Soft drinks,schweppes-lemonade-6x330ml-1,FOOD AND NON-ALCOHOLIC BEVERAGES,SupermarketCy
2024-07-02,ColgateMaxFreshCrystalMint75ml,"Articles for personal hygiene and wellness, esoteric products and beauty products",colgate-max-fresh-crystal-mint-75ml,MISCELLANEOUS GOODS AND SERVICES,SupermarketCy
2024-07-02,SchweppesLemonade6X330ml,Soft drinks,schweppes-lemonade-6x330ml-1,FOOD AND NON-ALCOHOLIC BEVERAGES,SupermarketCy
2024-07-03,ColgateMaxFreshCrystalMint75ml,"Articles for personal hygiene and wellness, esoteric products and beauty products",colgate-max-fresh-crystal-mint-75ml,MISCELLANEOUS GOODS AND SERVICES,SupermarketCy
2024-07-03,SchweppesLemonade6X330ml,Soft drinks,schweppes-lemonade-6x330ml-1,FOOD AND NON-ALCOHOLIC BEVERAGES,SupermarketCy
2024-07-04,ColgateMaxFreshCrystalMint75ml,"Articles for personal hygiene and wellness, esoteric products and beauty products",colgate-max-fresh-crystal-mint-75ml,MISCELLANEOUS GOODS AND SERVICES,SupermarketCy
2024-07-04,SchweppesLemonade6X330ml,Soft drinks,schweppes-lemonade-6x330ml-1,FOOD AND NON-ALCOHOLIC BEVERAGES,SupermarketCy
