"Date","Name","Subclass","Price","Division","Retailer"
"2024-09-27","Wholemeal Bread Sliced","Bread",1.7,"FOOD AND NON-ALCOHOLIC BEVERAGES","Opa"
"2024-09-27","Village Bread Sliced","Bread",1.7,"FOOD AND NON-ALCOHOLIC BEVERAGES","Opa"
"2024-09-27","Bananas","Fresh or chilled fruit",1.9,"FOOD AND NON-ALCOHOLIC BEVERAGES","Opa"
"2024-09-27","Apple Pink","Fresh or chilled fruit",2.99,"FOOD AND NON-ALCOHOLIC BEVERAGES","Opa"
"2024-09-27","Grapes White","Fresh or chilled fruit",2.49,"FOOD AND NON-ALCOHOLIC BEVERAGES","Opa"
"2024-09-27","Apples Green","Fresh or chilled fruit",1.85,"FOOD AND NON-ALCOHOLIC BEVERAGES","Opa"
"2024-09-27","Pears","Fresh or chilled fruit",1.99,"FOOD AND NON-ALCOHOLIC BEVERAGES","Opa"
"2024-09-27","Apples Red Chief","Fresh or chilled fruit",1.85,"FOOD AND NON-ALCOHOLIC BEVERAGES","Opa"
"2024-09-27","Blueberries","Fresh or chilled fruit",3.49,"FOOD AND NON-ALCOHOLIC BEVERAGES","Opa"
"2024-09-27","Apples Golden","Fresh or chilled fruit",1.85,"FOOD AND NON-ALCOHOLIC BEVERAGES","Opa"
"2024-09-27","Pomegranates","Fresh or chilled fruit",4.2,"FOOD AND NON-ALCOHOLIC BEVERAGES","Opa"
"2024-09-27","Apples Royal Gala","Fresh or chilled fruit",1.9,"FOOD AND NON-ALCOHOLIC BEVERAGES","Opa"
"2024-09-27","Oranges Merlin","Fresh or chilled fruit",2.99,"FOOD AND NON-ALCOHOLIC BEVERAGES","Opa"
"2024-09-27","Oranges for Juice","Fresh or chilled fruit",1.99,"FOOD AND NON-ALCOHOLIC BEVERAGES","Opa"
"2024-09-27","Pineapple","Fresh or chilled fruit",2.49,"FOOD AND NON-ALCOHOLIC BEVERAGES","Opa"
"2024-09-27","Mango","Fresh or chilled fruit",3.2,"FOOD AND NON-ALCOHOLIC BEVERAGES","Opa"
"2024-09-27","Tomatoes Ripe for Salsa","Fresh or chilled vegetables other than potatoes and other tubers",1.98,"FOOD AND NON-ALCOHOLIC BEVERAGES","Opa"
"2024-09-27","Cucumbers fleid","Fresh or chilled vegetables other than potatoes and other tubers",3.38,"FOOD AND NON-ALCOHOLIC BEVERAGES","Opa"
"2024-09-27","Red Onions","Fresh or chilled vegetables other than potatoes and other tubers",2.2,"FOOD AND NON-ALCOHOLIC BEVERAGES","Opa"
"2024-09-27","Cucumbers Greenhouse","Fresh or chilled vegetables other than potatoes and other tubers",2.98,"FOOD AND NON-ALCOHOLIC BEVERAGES","Opa"
"2024-09-27","Cherry Tomatos","Fresh or chilled vegetables other than potatoes and other tubers",3.38,"FOOD AND NON-ALCOHOLIC BEVERAGES","Opa"
"2024-09-27","Mixed Peppers","Fresh or chilled vegetables other than potatoes and other tubers",3.99,"FOOD AND NON-ALCOHOLIC BEVERAGES","Opa"
"2024-09-27","Potatoes Washed","Potatoes",2.99,"FOOD AND NON-ALCOHOLIC BEVERAGES","Opa"
"2024-09-27","St. Nicholas Water","Mineral or spring waters",2.8,"FOOD AND NON-ALCOHOLIC BEVERAGES","Opa"
"2024-09-27","Dried Prunes with Pit","Dried fruit and nuts",3.49,"FOOD AND NON-ALCOHOLIC BEVERAGES","Opa"
"2024-09-27","Smoked Turkey","Dried, salted or smoked meat",3.69,"FOOD AND NON-ALCOHOLIC BEVERAGES","Opa"
"2024-09-27","Ham","Dried, salted or smoked meat",4.49,"FOOD AND NON-ALCOHOLIC BEVERAGES","Opa"
"2024-09-27","Lettuce Cos","Fresh or chilled vegetables other than potatoes and other tubers",0.9,"FOOD AND NON-ALCOHOLIC BEVERAGES","Opa"
"2024-09-27","TZIVERTI Cyprus Wildflowers Honey squeeze 485g","Jams, marmalades and honey",5.9,"FOOD AND NON-ALCOHOLIC BEVERAGES","Opa"
"2024-09-27","Philadelphia Original","Cheese and curd",3.29,"FOOD AND NON-ALCOHOLIC BEVERAGES","Opa"
"2024-09-27","Kellogg’s Special K Classic 375g","Breakfast cereals",4.19,"FOOD AND NON-ALCOHOLIC BEVERAGES","Opa"
"2024-09-27","Kellogg’s Crunchy Nut 375 g","Breakfast cereals",4.69,"FOOD AND NON-ALCOHOLIC BEVERAGES","Opa"
"2024-09-27","ARTOZYM traditional pitta bread x 5pcs 550g","Other bakery products",1.67,"FOOD AND NON-ALCOHOLIC BEVERAGES","Cheap Basket"
"2024-09-27","PERSEAS white sliced loaf 750g","Other bakery products",2.14,"FOOD AND NON-ALCOHOLIC BEVERAGES","Cheap Basket"
"2024-09-27","American type buns for hot dogs 4pcs","Other bakery products",1.48,"FOOD AND NON-ALCOHOLIC BEVERAGES","Cheap Basket"
"2024-09-27","BAKANDYS traditional wheat crisp rolls (with sesame seeds and spices) 300g","Other bakery products",2.69,"FOOD AND NON-ALCOHOLIC BEVERAGES","Cheap Basket"
"2024-09-27","JOHNSOF Double Baked wheat croutons 320g","Other bakery products",3.42,"FOOD AND NON-ALCOHOLIC BEVERAGES","Cheap Basket"
"2024-09-27","ELITE wheat rusks 500g (3+1 FREE)","Other bakery products",2.71,"FOOD AND NON-ALCOHOLIC BEVERAGES","Cheap Basket"
