Name,Subclass,Url,Division,Retailer
PETROLINA (HOLDINGS) PUBLIC LIMITED 23831601,,petrolina-holdings-public-limited-49?ref=maptile,,Fuel Daddy
ΑΔΕΛΦΟΙ ΑΡΤΥΜΑΤΑ (ΠΡΩΤΑΡΑΣ) ΛΙΜΙΤΕΔ - 23814200,,adelfoi-artymata-protaras-limited-1?ref=maptile,,Fuel Daddy
PETROLINA (HOLDINGS) PUBLIC LIMITED,,petrolina-holdings-public-limited-45?ref=maptile,,Fuel Daddy
CORAL ENERGY PRODUCTS CYPRUS LTD,,coral-energy-products-cyprus-ltd-23?ref=maptile,,Fuel Daddy
ΛΕΥΤΕΡΗΣ ΚΑΜΗΛΑΡΗΣ (ΕΠΙΧΕΙΡΗΣΕΙΣ) ΛΙΜΙΤΕΔ,,leyteris-kamilaris-epicheiriseis-limited-1?ref=maptile,,Fuel Daddy
ΝΙΚΟΣ & ΜΑΡΚΟΣ ΠΙΤΤΑΚΗΣ,,nikos-markos-pittakis-1?ref=maptile,,Fuel Daddy
ΑΔΕΛΦΟΙ ΑΡΤΥΜΑΤΑ (ΠΑΡΑΛΙΜΝΙ) ΛΙΜΙΤΕΔ,,adelfoi-artymata-paralimni-limited-1?ref=maptile,,Fuel Daddy
PETROLINA (HOLDINGS) PUBLIC LIMITED,,petrolina-holdings-public-limited-46?ref=maptile,,Fuel Daddy
ΧΡΥΣΟΥΛΛΑ ΣΤΑΘΗ ΛΙΜΙΤΕΔ,,chrysoylla-stathi-limited?ref=maptile,,Fuel Daddy
R.A.M. OIL CYPRUS LIMITED,,ram-oil-cyprus-limited-45?ref=maptile,,Fuel Daddy
LI. MA. KA. & CO LTD,,li-ma-ka-co-ltd-1?ref=maptile,,Fuel Daddy
CORAL ENERGY PRODUCTS CYPRUS LTD,,coral-energy-products-cyprus-ltd-24?ref=maptile,,Fuel Daddy
PETROLINA (HOLDINGS) PUBLIC LIMITED,,petrolina-holdings-public-limited-48?ref=maptile,,Fuel Daddy
R.A.M. OIL CYPRUS LIMITED,,ram-oil-cyprus-limited-47?ref=maptile,,Fuel Daddy
ΑΝΤΩΝΑΚΗΣ ΚΟΥΡΡΗΣ & ΥΙΟΣ ΛΙΜΙΤΕΔ,,antonakis-koyrris-yios-limited-1?ref=maptile,,Fuel Daddy
ΣΤΥΛΛΗ & ΙΩΣΗΦ ΕΠΙΧΕΙΡΗΣΕΙΣ ΛΙΜΙΤΕΔ,,stylli-iosif-epicheiriseis-limited-1?ref=maptile,,Fuel Daddy
TSOIL ENTERPRISES LIMITED,,tsoil-enterprises-limited-1?ref=maptile,,Fuel Daddy
Α. ΤΡΙΣΟΚΚΑΣ & ΥΙΟΣ ΛΙΜΙΤΕΔ,,a-trisokkas-yios-limited-1?ref=maptile,,Fuel Daddy
STAROIL (CYPRUS) LTD,,staroil-cyprus-ltd-14?ref=maptile,,Fuel Daddy
R.A.M. OIL CYPRUS LIMITED,,ram-oil-cyprus-limited-46?ref=maptile,,Fuel Daddy
ΜΙΧΑΛΗΣ ΚΑΤΖΗΣ & ΚΥΡΙΑΚΟΣ ΕΓΓΛΕΖΟΣ,,michalis-katzis-kyriakos-egglezos-2?ref=maptile,,Fuel Daddy
ΝΙΚΟΣ ΓΕΡΑΣΙΜΟΥ ΛΙΜΙΤΕΔ,,nikos-gerasimoy-limited?ref=maptile,,Fuel Daddy
PETROLINA (HOLDINGS) PUBLIC LIMITED,,petrolina-holdings-public-limited-47?ref=maptile,,Fuel Daddy
ΜΑΡΙΟΣ Γ. ΠΑΝΑΓΗ & ΣΙΑ ΛΤΔ,,marios-g-panagi-sia-ltd-1?ref=maptile,,Fuel Daddy
ΒΑΣΟΣ ΜΑΤΩΛΗΣ ΛΙΜΙΤΕΔ,,vasos-matolis-limited-1?ref=maptile,,Fuel Daddy
K.L.D. PETROLEUM LIMITED,,kld-petroleum-limited-1?ref=maptile,,Fuel Daddy
ΔΗΜΟΣ ΚΑΛΛΕΝΟΣ & ΥΙΟΣ ΛΙΜΙΤΕΔ,,dimos-kallenos-yios-limited-1?ref=maptile,,Fuel Daddy
R.A.M. OIL CYPRUS LIMITED,,ram-oil-cyprus-limited-81?ref=maptile,,Fuel Daddy
R.A.M. OIL CYPRUS LIMITED,,ram-oil-cyprus-limited-84?ref=maptile,,Fuel Daddy
Κ. ΜΙΧΑΗΛΑΣ & ΣΙΑ ΛΙΜΙΤΕΔ,,k-michailas-sia-limited-9?ref=maptile,,Fuel Daddy
PKP FUEL CO. LTD,,pkp-fuel-co-ltd-1?ref=maptile,,Fuel Daddy
PETROLINA (HOLDINGS) PUBLIC LIMITED,,petrolina-holdings-public-limited-75?ref=maptile,,Fuel Daddy
P1 PETROLEUM LIMITED,,p1-petroleum-limited-1?ref=maptile,,Fuel Daddy
