Division,Weight,Weight_Price_Division_Index,Price
ALCOHOLIC BEVERAGES AND TOBACCO,0.0347,0.47366014285714286,88.21738095238095
CLOTHING AND FOOTWEAR,0.07139999999999999,2.5044481666666667,337.76983333333334
COMMUNICATION,0.0439,0.31886543333333334,104.47766666666666
EDUCATION,0.0382,354.7019230769231,43010.89743589744
FOOD AND NON-ALCOHOLIC BEVERAGES,0.1903,0.8181883133775538,234.1098639505919
"FURNISHING, HOUSEHOLD EQUIPMENT AND SUPPLIES ",0.0438,4.652567139130435,2403.134949275362
HEALTH,0.0224,0.347793,280.266
"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",0.049400000000000006,0.26656403242775584,17.292463956960916
MISCELLANEOUS GOODS AND SERVICES,0.045399999999999996,0.6150945606060606,298.05530303030304
RECREATION AND CULTURE,0.027800000000000002,1.6305346088751291,1036.2018575851394
RESTAURANTS AND HOTELS,0.0797,1.0745616666666666,25.575694444444444
TRANSPORT,0.1319,717.7520410271334,48098.67426199875
