Date,CPI General,Inflation (%)
2024-06-27,77.89,
2024-07-25,77.9976,0.1381
2024-08-29,77.8456,-0.1949
2024-09-26,78.1039,0.3318
2024-10-31,78.9859,1.1293
2024-11-28,78.3692,-0.7808
2024-12-26,78.443,0.0942
2025-01-30,78.073,-0.4717
2025-02-27,78.5334,0.5897
2025-03-27,78.7189,0.2362
2025-04-24,78.7472,0.036
2025-05-29,78.8078,0.077
2025-06-26,78.5321,-0.3498
2025-07-31,78.1989,-0.4243
2025-08-28,78.9454,0.9546
2025-09-25,79.1142,0.2138
2025-10-30,78.7642,-0.4424
2025-11-27,78.3238,-0.5591
2025-12-25,78.5713,0.316
2026-01-29,78.9703,0.5078
