Name,Subclass,Url,Division,Retailer
Wholemeal Bread Sliced,Bread,sliced-wholemeal-bread,FOOD AND NON-ALCOHOLIC BEVERAGES,Opa
Village Bread Sliced,Bread,sliced-village-bread,FOOD AND NON-ALCOHOLIC BEVERAGES,Opa
Bananas,Fresh or chilled fruit,bananas,FOOD AND NON-ALCOHOLIC BEVERAGES,Opa
Apple Pink,Fresh or chilled fruit,apples-pink-lady,FOOD AND NON-ALCOHOLIC BEVERAGES,Opa
Grapes White,Fresh or chilled fruit,grapes-white,FOOD AND NON-ALCOHOLIC BEVERAGES,Opa
Apples Green,Fresh or chilled fruit,apples-green,FOOD AND NON-ALCOHOLIC BEVERAGES,Opa
Pears,Fresh or chilled fruit,pears,FOOD AND NON-ALCOHOLIC BEVERAGES,Opa
Apples Red Chief,Fresh or chilled fruit,apples-red-chief,FOOD AND NON-ALCOHOLIC BEVERAGES,Opa
Blueberries,Fresh or chilled fruit,blueberries,FOOD AND NON-ALCOHOLIC BEVERAGES,Opa
Apples Golden,Fresh or chilled fruit,apples-golden,FOOD AND NON-ALCOHOLIC BEVERAGES,Opa
Pomegranates,Fresh or chilled fruit,pomegranates,FOOD AND NON-ALCOHOLIC BEVERAGES,Opa
Apples Royal Gala,Fresh or chilled fruit,apples-royal-gala,FOOD AND NON-ALCOHOLIC BEVERAGES,Opa
Oranges Merlin,Fresh or chilled fruit,oranges-merlin,FOOD AND NON-ALCOHOLIC BEVERAGES,Opa
Oranges for Juice,Fresh or chilled fruit,oranges-for-juice,FOOD AND NON-ALCOHOLIC BEVERAGES,Opa
Pineapple,Fresh or chilled fruit,pineapple,FOOD AND NON-ALCOHOLIC BEVERAGES,Opa
Mango,Fresh or chilled fruit,mango,FOOD AND NON-ALCOHOLIC BEVERAGES,Opa
Tomatoes Ripe for Salsa,Fresh or chilled vegetables other than potatoes and other tubers,tomatoes-ripe-for-salsa,FOOD AND NON-ALCOHOLIC BEVERAGES,Opa
Cucumbers fleid,Fresh or chilled vegetables other than potatoes and other tubers,cucumbers-field,FOOD AND NON-ALCOHOLIC BEVERAGES,Opa
Red Onions,Fresh or chilled vegetables other than potatoes and other tubers,red-onions,FOOD AND NON-ALCOHOLIC BEVERAGES,Opa
Cucumbers Greenhouse,Fresh or chilled vegetables other than potatoes and other tubers,cucumbers-greenhouse,FOOD AND NON-ALCOHOLIC BEVERAGES,Opa
Cherry Tomatos,Fresh or chilled vegetables other than potatoes and other tubers,cherry-tomatos,FOOD AND NON-ALCOHOLIC BEVERAGES,Opa
Mixed Peppers,Fresh or chilled vegetables other than potatoes and other tubers,mixed-peppers,FOOD AND NON-ALCOHOLIC BEVERAGES,Opa
Potatoes Washed,Potatoes,potatoes-washed,FOOD AND NON-ALCOHOLIC BEVERAGES,Opa
St. Nicholas Water,Mineral or spring waters,st-nicholas-water,FOOD AND NON-ALCOHOLIC BEVERAGES,Opa
Dried Prunes with Pit,Dried fruit and nuts,dried-prunes-with-pit,FOOD AND NON-ALCOHOLIC BEVERAGES,Opa
Smoked Turkey,"Dried, salted or smoked meat",smoked-turkey,FOOD AND NON-ALCOHOLIC BEVERAGES,Opa
Ham,"Dried, salted or smoked meat",ham,FOOD AND NON-ALCOHOLIC BEVERAGES,Opa
Lettuce Cos,Fresh or chilled vegetables other than potatoes and other tubers,lettuce-cos,FOOD AND NON-ALCOHOLIC BEVERAGES,Opa
TZIVERTI Cyprus Wildflowers Honey squeeze 485g,"Jams, marmalades and honey",tziverti-cyprus-wildflowers-honey-squeeze-485g,FOOD AND NON-ALCOHOLIC BEVERAGES,Opa
Philadelphia Original,Cheese and curd,philadelphia-original,FOOD AND NON-ALCOHOLIC BEVERAGES,Opa
Kellogg’s Special K Classic 375g,Breakfast cereals,kelloggs-special-k-classic-375g,FOOD AND NON-ALCOHOLIC BEVERAGES,Opa
Kellogg’s Crunchy Nut 375 g,Breakfast cereals,kelloggs-crunchy-nut-375-g,FOOD AND NON-ALCOHOLIC BEVERAGES,Opa
ARTOZYM traditional pitta bread x 5pcs 550g,Other bakery products,artozym-traditional-pitta-bread-x-5pcs-550g/,FOOD AND NON-ALCOHOLIC BEVERAGES,Cheap Basket
PERSEAS white sliced loaf 750g,Other bakery products,perseas-white-sliced-loaf-750g/,FOOD AND NON-ALCOHOLIC BEVERAGES,Cheap Basket
American type buns for hot dogs 4pcs,Other bakery products,american-type-buns-for-hot-dogs-4pcs/,FOOD AND NON-ALCOHOLIC BEVERAGES,Cheap Basket
BAKANDYS traditional wheat crisp rolls (with sesame seeds and spices) 300g,Other bakery products,bakandys-traditional-wheat-crisp-rolls-with-sesame-seeds-and-spices-300g/,FOOD AND NON-ALCOHOLIC BEVERAGES,Cheap Basket
JOHNSOF Double Baked wheat croutons 320g,Other bakery products,johnsof-double-baked-wheat-croutons-320g/,FOOD AND NON-ALCOHOLIC BEVERAGES,Cheap Basket
ELITE wheat rusks 500g (3+1 FREE),Other bakery products,elite-wheat-rusks-500g-31-free/,FOOD AND NON-ALCOHOLIC BEVERAGES,Cheap Basket
ELITE wheat & rye rusks 360g (3+1 FREE),Other bakery products,elite-wheat-rye-rusks-360g-31-free/,FOOD AND NON-ALCOHOLIC BEVERAGES,Cheap Basket
BARILLA spaghetti 500g (n.5),Pasta products and couscous,barilla-spaghetti-500g-n-5/,FOOD AND NON-ALCOHOLIC BEVERAGES,Cheap Basket
MELISSA spaghetti No6 500g,Pasta products and couscous,melissa-spaghetti-no6-500g/,FOOD AND NON-ALCOHOLIC BEVERAGES,Cheap Basket
MELISSA orzo 500g,Pasta products and couscous,melissa-orzo-500g/,FOOD AND NON-ALCOHOLIC BEVERAGES,Cheap Basket
MITSIDES spaghetti 500g,Pasta products and couscous,mitsides-spaghetti-500g/,FOOD AND NON-ALCOHOLIC BEVERAGES,Cheap Basket
MITSIDES orzo 500g,Pasta products and couscous,mitsides-orzo-500g/,FOOD AND NON-ALCOHOLIC BEVERAGES,Cheap Basket
MITSIDES mezzani A 500g,Pasta products and couscous,mitsides-mezzani-a-500g/,FOOD AND NON-ALCOHOLIC BEVERAGES,Cheap Basket
MITSIDES traditional Cyprus macaroni 500g,Pasta products and couscous,mitsides-traditional-cyprus-macaroni-500g/,FOOD AND NON-ALCOHOLIC BEVERAGES,Cheap Basket
TRIUMPH spaghetti 500g,Pasta products and couscous,triumph-spaghetti-500g/,FOOD AND NON-ALCOHOLIC BEVERAGES,Cheap Basket
TILDA basmati rice 1kg,Rice,tilda-basmati-rice-1kg/,FOOD AND NON-ALCOHOLIC BEVERAGES,Cheap Basket
3A basmati rice 1kg,Rice,3a-basmati-rice-1kg/,FOOD AND NON-ALCOHOLIC BEVERAGES,Cheap Basket
3A premium jasmine rice 1kg,Rice,3a-premium-jasmine-rice-1kg/,FOOD AND NON-ALCOHOLIC BEVERAGES,Cheap Basket
SAILOR table sea salt 250g (plastic),"Salt, spices and culinary herbs",sailor-table-sea-salt-250g-plastic/,FOOD AND NON-ALCOHOLIC BEVERAGES,Cheap Basket
